index,rank,book,german,english,gender,german_sentence,english_sentence
281,281,1,schwer,hard / heavy / hard,adj,Das ist schwer zu sagen.,That is hard to say.
282,282,1,suchen,to look for,vb,Gehen Sie und suchen Sie John!,Go and look for John.
283,283,1,zeigen,to show / appear,vb,"Er war so freundlich, mir den Weg zur Bibliothek zu zeigen.",He was kind enough to show me the way to the library.
284,284,1,der Film,the movie,M,"Es ist nur ein Film, Jane.","It's only a movie, Jane."
285,285,1,schlecht,bad / poorly,adj,Butter ist schlecht für Ihr Herz.,Butter is bad for your heart.
286,286,1,deshalb,that's why,adv,Deshalb muss ich das tun.,That's why I have to do this.
287,287,1,holen,to get,vb,Ich muss mir ein Autogramm holen.,I have got to get me an autograph.
288,288,1,hoffen,to hope,vb,Ich werde morgen kämpfen und hoffen.,I'm going to fight tomorrow and hope.
289,289,1,das Bett,the bed,N,Du solltest im Bett bleiben.,You should stay in bed.
290,290,1,die Seite,the page / site,F,Auf Seite finden Sie weitere Informationen.,Go to page 25 for more information.
291,291,1,gefallen,to like / favor / pleasure,vb,Das wird deiner Frau nicht gefallen.,Your wife won't like that.
292,292,1,eben,just / even,adv,Wir müssen eben unser Bestes tun.,We'll just have to do the best we can.
293,293,1,die Stunde,the hour,F,Der Film dauert zwei Stunden.,The movie lasts for two hours.
294,294,1,das Herz,the heart,N,Es ist das Herz der Insel.,It's the heart of the island.
295,295,1,wohin,where,adv,"John fragte Jane, wohin er den Sack mit Hundefutter stellen sollte.",John asked Jane where she wanted him to put the bag of dog food.
296,296,1,trinken,to drink,vb,"John bereitete sich eine Tasse heißer Schokolade zu, aber er hatte keine Zeit, sie zu trinken.","John made himself a cup of hot chocolate, but he didn't have time to drink it."
297,297,1,der Mensch,the human / person,M,Der Mensch hat sich seit der Steinzeit nicht allzu sehr verändert.,Humans haven't changed much since the Stone Age.
298,298,1,unten,below,adv,Sie müssen diese Informationen unten eingeben.,You will need to enter this information below.
299,299,1,das Gesicht,the face,N,Ein großes Licht strahlt aus deinem Gesicht.,There is a great light shining from your face.
300,300,1,versuchen,to try,vb,Wie viele Menschen versuchen Englisch zu lernen?,How many people are trying to learn English?
301,301,1,der Fall,the case / fall,M,"In diesem Fall denke ich, dass er Recht hat.",I think he is right in this case.
302,302,1,verlassen,to leave / abandoned,vb,Dann werde ich dich also verlassen.,"Then, I'll be leaving you."
303,303,1,endlich,finally / finite,adv,Endlich erreichten wir den Gipfel des Fuji.,We finally reached the top of Mt. Fuji.
304,304,1,schlafen,to sleep,vb,Deshalb lasse ich dich hier schlafen.,That's why I let you sleep here.
305,305,1,ziemlich,quite / considerable,adv,Ich hielt es für ziemlich witzig.,I thought it was quite humorous.
306,306,1,manchmal,sometimes,adv,Wir alle brauchen manchmal Ruhe.,"Sometimes, we all need rest."
307,307,1,das Fest,the celebration / firm / firmly,N,Das wäre kein so lustiges Fest.,That wouldn't be such a fun celebration.
308,308,1,wiedersehen,to see again,vb,Auf Wiedersehen. Du wirst mich nicht wiedersehen.,Goodbye. You will not see me again.
309,309,1,laufen,to run / walk,vb,"Es ist gefährlich, auf Eisenbahnschienen zu laufen.",It's dangerous to walk on railway lines.
310,310,1,zwischen,between,prp,Tiere können nicht zwischen wahr und falsch unterscheiden.,Animals can't distinguish between true and false.
311,311,1,niemals,never,adv,John wird den Unterschied niemals merken.,John will never notice the difference.
312,312,1,während,during / while,prp,Er brachte uns während der ganzen Woche in seinem kleinen Haus unter.,He accommodated us all for the entire week in his little house.
313,313,1,die Idee,the idea,F,"Sie hat eine Idee, wie man eine Kunstsprache schaffen kann.",She has an idea of how to create an artificial language.
314,314,1,die Nummer,the number,F,Die befinden sich im Gang Nummer zwei.,They're in aisle number two.
315,315,1,sondern,but,con,"Er ist nicht Lehrer, sondern Anwalt.","He isn't a teacher, but a doctor."
316,316,1,frei,free / freely,adj,Ich will frei und unabhängig sein.,I want to be free and independent.
317,317,1,oft,often,adv,Reist du oft ins Ausland?,Do you often travel abroad?
318,318,1,die Entschuldigung,the apology / sorry,F,"Entschuldigung, etwas ist schiefgegangen.","Sorry, something went wrong."
319,319,1,ernst,serious / seriously,adj,Nimm es nicht so ernst.,Don't take it so seriously.
320,320,1,die Schule,the school,F,Mein Sohn geht in die Schule.,My son goes to school.
321,321,1,erzählen,to tell,vb,John kann keine Witze erzählen.,John can't tell jokes.
322,322,1,einiger,some,prn,Einige Menschen brauchen mehr Zeit.,Some people need more time.
323,323,1,bloß,only / mere,adv,Du bist bloß ein Schüler.,You are only a student.
324,324,1,entschuldigen,to excuse,vb,Ich möchte mich für unser letztes Zusammentreffen entschuldigen.,I'd like to apologize for our previous encounter.
325,325,1,setzen,to set / sit,vb,Auch dafür müssen wir vernünftige Grenzen setzen.,This is another area where we need to set reasonable limits.
326,326,1,bedeuten,to mean,vb,"Weißt du, was es bedeutet?",Do you know what it means?
327,327,1,das Feuer,the fire,N,Spiel nicht mit dem Feuer.,Don't play with fire.
328,328,1,passen,to fit / match,vb,Einige der ausgewählten Komponenten passen nicht zusammen.,Some of the components you chose do not fit together.
329,329,1,die Schuld,the fault / debt,F,Es war nicht meine Schuld.,It wasn't my fault.
330,330,1,d(a)rauf,on it,adv,Lass mich mal ein Auge drauf werfen.,Let me take a look.
331,331,1,der Platz,the place,M,Das ist doch mein Platz.,But it is my place.
332,332,1,der Papa,the dad,M,Das sage ich meinem Papa!,I'll tell my dad!
333,333,1,der Spaß,the fun,M,"Glaubst du, das würde Spaß machen?",Do you think it would be fun to do that?
334,334,1,wichtig,important,adj,"Es ist wichtig, einander zu helfen.",It is important to help each other.
335,335,1,das Blut,the blood,N,Das Blut an meinem Hemd ist das meines Bruders.,The blood on my shirt is my brother's.
336,336,1,hierher,here,adv,Sie baten mich hierher zu kommen.,You asked me to come here.
337,337,1,reichen,to be enough / reach,vb,Mir würden Millionen nicht reichen.,10 million wouldn't be enough for me.
338,338,1,glücklich,happy / happily,adj,"John wusste, dass Jane nicht glücklich war.",John knew that Jane wasn't happy.
339,339,1,kaum,hardly,adv,"Es ist bizarr, aber kaum unnatürlich.","It's grotesque, yes, but hardly unnatural."
340,340,1,zuerst,at first,adv,Er wollte mich zuerst nicht reinlassen.,He didn't want to let me in at first.
341,341,1,stellen,to put / stand,vb,Kannst du das Geschirr in den Schrank stellen?,Can you put the dishes away in the cupboard?
342,342,1,falls,if / in case,con,"Falls ich London erneut besuche, werde ich es viermal besucht haben.","If I visit London again, I will have visited it four times."
343,343,1,früh,early,adj,Johns Vater ist früh in den Ruhestand gegangen.,John's father retired early.
344,344,1,sechs,six,nu,Sie dürfen auch mindestens sechs Monate nicht arbeiten.,You mustn't work for at least six months.
345,345,1,die Freundin,the girlfriend / friend,F,Meine Eltern mögen meine Freundin nicht.,My parents don't like my girlfriend.
346,346,1,lieben,to love,vb,Wir lieben uns nicht mehr.,We don't love each other anymore.
347,347,1,Teil,part,M/N,Du bist nicht länger Teil meines Lebens.,You're no longer part of my life.
348,348,1,langsam,slowly / slow,adv,Langsam wird John wieder ungeduldig.,John is getting impatient again.
349,349,1,scheinen,to seem / shine,vb,Ich scheine Fieber zu haben.,I seem to have a fever.
350,350,1,früher,earlier / former,adv,Ich wäre etwas früher gekommen.,I would have come a little earlier.
351,351,1,das Telefon,the phone,N,"Letzte Nacht bin ich eingeschlafen, während ich mit Jane am Telefon sprach.","Last night, I fell asleep while talking with Jane on the phone."
352,352,1,der Himmel,the sky,M,Der Himmel ist heute grau.,The sky is gray today.
353,353,1,lernen,to learn,vb,"Jane sagte, sie habe vor, Französisch zu lernen.",Jane said she planned to learn French.
354,354,1,zehn,ten,nu,Die Bank schließt in zehn Minuten.,The bank closes in ten minutes.
355,355,1,willkommen,welcome,adj,Sie sind alle hier willkommen.,You are all welcome here.
356,356,1,die Luft,the air / breath,F,John hob Jane in die Luft.,John lifted Jane in the air.
357,357,1,das Licht,the light,N,Ich wollte nur das Licht ausmachen.,I was just going to turn off the light.
358,358,1,die Menge,the amount,F,John trinkt große Mengen Alkohol.,John drinks copious amounts of alcohol.
359,359,1,voll,full,adj,Kinder sind immer voller Energie.,Children are always full of energy.
360,360,1,überall,everywhere,adv,Ich habe schon überall nach John gesucht.,I've been looking all over for John.
361,361,1,die Erde,the earth,F,Die Erde ist viereinhalb Milliarde alt.,The earth is four and a half billion years old.
362,362,1,rufen,to call,vb,Sie sollten die Polizei rufen!,You should call the police.
363,363,1,möglich,possible,adj,"Ich glaube nicht, dass das überhaupt möglich ist.",I don't think that's even possible.
364,364,1,Eltern,parents,,"Sind deine Eltern damit einverstanden, dass du Flugbegleiter wirst?",Do your parents agree to your becoming a flight attendant?
365,365,1,außer,except / without,con,"Er vertraut niemandem, außer vielleicht John.","He doesn't trust anybody, except maybe John."
366,366,1,nah,close,adj,Ich stand meiner Schwester sehr nah.,My sister and I were very close.
367,367,1,ziehen,to pull,vb,"Das passiert, wenn du zu stark ziehst.",This happens if you pull too hard.
368,368,1,das Mädchen,the girl,N,John verkleidete sich zu Halloween als ein Mädchen.,John dressed as a girl for Halloween.
369,369,1,wahrscheinlich,probably / likely,adv,Er ist wahrscheinlich oben in einer Wohnung.,He's probably in one of the apartments upstairs.
370,370,1,nennen,to call,vb,Und nennen Sie mich nicht so.,And don't call me that.
371,371,1,falsch,wrong / incorrectly,adj,"Was sie machten, war falsch.",What they did was wrong.
372,372,1,ehrlich,honest / honestly,adj,John ist aber nicht ehrlich.,"John isn't honest, though."
373,373,1,irgendwas,something,prn,"Ich dachte, es könnte irgendwas auslösen.",I thought it might trigger something.
374,374,1,heiraten,to marry,vb,Ich hätte deinen Bruder heiraten sollen.,I should have married your brother.
375,375,1,das Stück,the piece,N,Ich möchte ein Stück Kuchen.,I'd like a piece of cake.
376,376,1,der Doktor,the doctor,M,"Obwohl der Doktor sein Bestes gab, erholte sich der Patient nur langsam.","Though the doctor did his best, the patient's recovery was slow."
377,377,1,der Kaffee,the coffee,M,Was sagen Sie zu einer Tasse Kaffee?,How about a cup of coffee?
378,378,1,krank,sick,adj,Der Gedanke allein macht mich krank.,The thought of it makes me sick.
379,379,1,danach,then / after,adv,Ich möchte mit Ihnen sofort danach sprechen.,I want to speak to you straight after.
380,380,1,der Arzt,the doctor,M,Der Arzt war vom guten Gesundheitszustand des Babys erfreut.,The doctor was pleased with the baby's good health.
381,381,1,schaffen,to create / accomplish,vb,Er wollte eine künstliche Lebensform schaffen.,His intention was to create an artificial life form.
382,382,1,völlig,completely / complete,adv,Die Antwort ist völlig falsch.,The answer is completely wrong.
383,383,1,weh,sore / hurt,adj,Mein Plan tut niemandem weh.,"In my plan, nobody gets hurt."
384,384,1,drüben,over there,adv,Da drüben soll es jetzt furchtbar sein.,I hear it's terrible over there at the moment.
385,385,1,das Büro,the office,N,"Wenn ich nicht hier wäre, würde dieses Büro in drei Tagen ins Chaos versinken.","If I wasn't here, this office would be in chaos in three days."
386,386,1,irgendwie,somehow,adv,"Sag Bescheid, wenn ich irgendwie behilflich sein kann!",Let me know if I can help you somehow.
387,387,1,eigen,own,adj,Jeder Passagier muss einen eigenen Sitzplatz haben.,Every passenger has to have their own seat.
388,388,1,das Problem,the problem,N,"Aber das führt schon zu einem Problem, oder?","It does cause a problem, doesn't it?"
389,389,1,der Wert,the value,M,Ich sehe den Wert der Arbeit dieses Mannes nicht.,I don't see the value of this man's work.
390,390,1,buchen,to book,vb,Ihr müsst uns eine Suite buchen.,We need you to book us a hotel suite.
391,391,1,kaufen,to buy,vb,Welche Gemüse möchtest du kaufen?,What vegetables do you want to buy?
392,392,1,erinnern,to remind / remember,vb,Genau daran wollte ich Sie erinnern.,That's exactly what I wanted to remind you of.
393,393,1,direkt,directly / direct,adv,Du kannst mit dem Bus oder mit dem Zug direkt dorthin kommen.,You can go there directly by bus or by train.
394,394,1,trotzdem,nevertheless,adv,Ich möchte es trotzdem im Detail untersuchen.,"Nevertheless, I would like to examine it in detail."
395,395,1,schreiben,to write,vb,Ich muss aber einen Bericht darüber schreiben.,I still need to write a report about it.
396,396,1,still,quiet / quietly,adj,Sei still während des Kurses.,Be quiet during the course.
397,397,1,der Körper,the body,M,Sie hat überall am Körper rote Flecken.,She has red spots all over her body.
398,398,1,retten,to save,vb,"Zum Glück bist du da, um sie zu retten!","Luckily, you're here to save them!"
399,399,1,solcher,such,prn,Es war ein solcher Schock.,It was such a shock.
400,400,1,sitzen,to sit,vb,"Die Farbe auf dem Stuhl, auf dem Sie sitzen, ist noch feucht.",The paint on the seat on which you are sitting is still wet.
401,401,1,leider,unfortunately,adv,Zurzeit sind leider keine offenen Ausbildungsstellen frei.,"Unfortunately, at the moment no open educational positions are available."
402,402,1,der Typ,the type,M,"Ich bin der Typ, der vor Leuten nervös wird, deshalb bin ich ein schlechter Redner.","I'm the type who gets nervous in front of people, so I'm bad at speech making."
403,403,1,der Schlüssel,the key,M,Ich habe meinen Schlüssel verloren.,I've lost my key.
404,404,1,tragen,to wear / carry,vb,Du solltest ein blaues Kleid tragen.,You should wear a blue dress.
405,405,1,zwar,though,adv,"Er ist zwar jung, aber schlau.","Though young, he is wise."
406,406,1,bereits,already,adv,Wir hatten diese Diskussion bereits.,We've already had this discussion.
407,407,1,leicht,easy / easily,adj,Janes Vater ist leicht beeinflussbar.,Jane's father is easily influenced.
408,408,1,das Schiff,the ship,N,Ich wollte immer ein Schiff kommandieren.,I have always wanted to command my own ship.
409,409,1,verlieren,to lose,vb,Ich will sie wirklich nicht verlieren.,I really don't want to lose them.
410,410,1,der Vater,the father,M,"Stell dir vor, dein Vater würde uns zusammen sehen, was würde er sagen?","Suppose your father saw us together, what would he say?"
411,411,1,klingen,to sound,vb,Aber ich wollte nicht verrückt klingen.,But I didn't want to sound crazy.
412,412,1,irgendwo,somewhere,adv,Können wir uns irgendwo unterhalten?,Is there somewhere we can talk?
413,413,1,planen,to plan,vb,"Ich weiß, dass John und Jane planen das zu tun.",I know that John and Jane are planning on doing that.
